cid,id_instalacion,rut_jefe_cierre,fecha_cierre,fecha_apertura
1,103,44715611-3,2012-01-23 00:43:47,2012-01-31 06:54:04
2,173,91995839-1,2017-08-21 02:29:25,2017-08-26 02:50:30
3,18,82645956-5,2015-12-17 00:16:27,2015-12-20 16:05:18
4,34,14200344-9,2017-10-18 07:34:56,2017-10-27 17:02:28
5,91,74415365-4,2019-08-29 00:03:15,2019-09-10 15:26:21
6,174,41091494-8,2017-07-02 15:46:45,2017-07-06 19:52:42
7,88,73324033-4,2013-12-11 00:19:37,2013-12-24 02:38:44
8,46,67629255-1,2020-01-11 04:41:41,2020-01-17 15:41:58
9,153,38631846-8,2010-06-02 05:06:45,2010-06-09 14:38:50
10,192,33572631-6,2018-02-22 21:33:23,2018-03-09 06:33:55
11,191,32359787-1,2017-08-25 13:52:13,2017-09-08 15:51:00
12,28,94362008-3,2018-09-26 20:50:40,2018-10-04 00:57:34
13,82,86043030-4,2013-05-15 07:21:50,2013-05-25 08:59:44
14,13,79459402-3,2020-07-21 17:41:52,2020-07-28 22:58:38
15,144,70388205-6,2018-01-06 22:29:40,2018-01-12 05:36:38
16,183,34776869-3,2010-03-28 04:27:27,2010-04-07 15:58:53
17,105,95514882-7,2013-11-02 21:45:14,2013-11-07 11:52:29
18,207,79758989-6,2013-09-30 22:21:46,2013-10-12 22:35:59
19,21,82376572-k,2016-05-20 03:26:46,2016-05-30 12:41:18
20,56,63968995-6,2015-03-30 03:10:35,2015-04-03 17:41:23
21,125,84911278-3,2019-06-11 00:35:34,2019-06-15 06:54:53
22,160,96735305-1,2016-02-28 03:15:36,2016-03-06 11:41:39
23,184,14046488-0,2012-06-01 23:46:13,2012-06-08 02:16:50
24,77,78734770-3,2019-04-04 04:52:02,2019-04-07 07:38:53
25,10,49326776-0,2015-08-11 11:40:43,2015-08-24 18:23:12
26,116,52968708-7,2012-09-21 16:19:30,2012-09-30 02:43:16
27,134,80698616-k,2013-02-16 17:00:30,2013-03-03 03:28:17
28,210,83386046-1,2020-09-04 10:06:12,2020-09-14 02:23:01
29,185,86555166-5,2013-12-24 06:16:08,2013-12-30 16:52:18
30,27,69402733-4,2016-02-04 20:35:48,2016-02-08 02:06:06
31,213,72800848-2,2015-02-22 20:57:26,2015-02-26 23:20:58
32,140,68377701-3,2013-10-28 18:39:37,2013-11-02 04:04:43
33,164,61995722-9,2013-11-12 08:06:10,2013-11-23 11:24:35
34,60,54121962-5,2019-03-26 16:24:20,2019-04-07 21:01:36
35,115,27952560-4,2014-10-07 00:06:01,2014-10-11 13:14:54
36,129,20180335-7,2012-08-30 14:52:01,2012-09-07 06:49:23
37,203,75129314-3,2019-01-05 05:58:33,2019-01-08 20:43:10
38,171,11091024-k,2019-01-08 17:11:14,2019-01-18 23:33:26
39,65,71134226-5,2016-08-18 11:01:08,2016-08-27 03:40:55
40,101,89146700-1,2017-02-06 04:26:09,2017-02-17 16:17:03
41,48,11554909-k,2013-03-22 14:03:33,2013-03-30 00:31:48
42,133,31113786-7,2013-05-28 04:36:20,2013-06-03 06:51:51
43,10,11118739-8,2014-01-21 19:00:16,2014-02-04 06:59:03
44,28,83118985-1,2013-02-24 00:58:46,2013-03-07 03:42:00
45,31,90471139-k,2011-03-19 08:20:07,2011-04-03 00:13:42
46,148,89671041-9,2016-07-11 00:12:12,2016-07-18 06:37:45
47,25,42226798-0,2019-10-01 16:08:08,2019-10-14 08:44:54
48,102,34643031-1,2010-04-16 01:14:24,2010-04-28 02:11:09
49,47,27183294-k,2012-01-09 04:34:41,2012-01-19 06:03:18
50,21,35340502-0,2019-08-28 11:12:00,2019-09-06 03:39:40
51,207,79758989-6,2015-12-19 14:57:37,2015-12-28 22:37:46
52,201,86683089-4,2017-07-01 04:40:56,2017-07-06 20:40:40
53,200,35662780-6,2010-09-08 22:07:44,2010-09-17 06:18:08
54,135,70624789-0,2011-04-29 19:02:02,2011-05-10 20:16:00
55,100,34996262-4,2011-09-29 12:20:29,2011-10-13 15:23:09
56,1,73842540-5,2013-10-16 04:47:09,2013-10-19 18:04:04
57,105,67753422-2,2016-02-27 01:59:27,2016-03-05 11:54:30
58,59,16792411-5,2012-04-05 06:58:45,2012-04-11 16:15:00
59,146,69698793-9,2015-04-29 18:24:41,2015-05-03 00:27:02
60,84,35155157-7,2014-05-28 11:46:15,2014-06-11 12:53:51
61,78,56725663-4,2019-03-03 04:14:11,2019-03-11 12:17:20
62,72,46012714-9,2011-06-17 19:01:16,2011-06-27 21:00:10
63,173,22234852-8,2018-12-09 06:20:57,2018-12-20 15:58:34
64,193,35288330-1,2017-10-30 15:59:45,2017-11-09 03:33:16
65,79,92244003-4,2014-07-05 14:21:38,2014-07-13 01:14:38
66,185,88538509-5,2014-03-14 15:07:05,2014-03-27 07:30:16
67,139,51194123-7,2015-02-02 17:53:30,2015-02-16 22:33:14
68,34,83905334-7,2011-01-22 03:12:51,2011-02-05 03:51:32
69,3,27626683-7,2013-11-11 11:55:36,2013-11-21 15:14:50
70,74,80282829-2,2016-03-02 01:03:44,2016-03-13 11:41:10
71,36,48979148-k,2020-06-26 04:30:06,2020-07-08 09:40:24
72,174,41091494-8,2020-01-09 21:48:14,2020-01-24 00:42:51
73,147,16836029-0,2010-04-04 15:24:21,2010-04-12 02:21:46
74,11,42723522-k,2018-03-01 14:19:31,2018-03-05 20:28:51
75,212,70019535-k,2019-02-04 07:46:10,2019-02-14 15:40:12
76,0,75295314-7,2010-09-23 20:03:35,2010-10-05 21:19:35
77,41,87649058-7,2014-08-27 20:53:02,2014-09-11 11:39:41
78,137,28792266-3,2014-07-20 09:25:35,2014-07-31 17:54:34
79,148,69186141-4,2017-05-07 03:25:20,2017-05-12 10:24:37
80,198,86447590-6,2017-02-25 13:29:20,2017-03-03 19:13:01
81,108,49718772-9,2018-12-05 10:35:35,2018-12-17 02:14:59
82,209,92270331-0,2014-02-16 11:27:20,2014-02-27 17:57:53
83,100,92394961-5,2017-06-15 04:15:58,2017-06-20 10:32:32
84,182,81234956-2,2010-12-03 21:24:38,2010-12-12 09:57:40
85,7,87282538-k,2014-11-03 04:31:43,2014-11-10 16:20:01
86,191,92253121-8,2012-04-30 14:56:28,2012-05-15 05:18:06
87,41,38470405-0,2010-02-19 23:24:50,2010-03-01 10:57:43
88,160,18969557-8,2017-12-15 03:46:22,2017-12-28 15:01:45
89,109,40503382-8,2010-11-29 20:27:07,2010-12-10 10:12:28
90,14,10544563-6,2011-07-16 00:49:01,2011-07-24 08:23:59
91,133,31113786-7,2012-05-20 02:22:57,2012-06-03 18:12:24
92,109,75766984-6,2019-06-13 18:41:26,2019-06-24 20:24:44
93,165,87442136-7,2015-05-04 21:59:23,2015-05-14 00:39:19
94,24,44100123-1,2014-06-23 05:21:14,2014-07-06 10:47:44
95,101,62887150-7,2018-05-08 14:35:34,2018-05-18 16:58:51
96,143,14761964-2,2018-01-05 23:05:18,2018-01-10 11:42:17
97,108,49718772-9,2020-04-01 09:08:39,2020-04-13 21:50:07
98,147,81602032-8,2020-08-26 02:20:07,2020-09-08 02:51:24
99,176,42678415-7,2011-09-22 20:16:46,2011-10-05 06:17:17
100,41,87649058-7,2015-11-19 21:54:13,2015-11-26 11:47:18
101,74,47121914-2,2012-09-11 15:16:44,2012-09-17 22:16:10
102,200,53329659-9,2012-06-24 23:02:20,2012-07-02 10:07:09
103,154,49641463-2,2018-09-30 06:59:54,2018-10-08 11:57:07
104,89,20694588-5,2017-08-03 21:00:40,2017-08-18 03:56:38
105,10,49326776-0,2019-11-13 17:12:01,2019-11-18 07:10:29
106,202,53325503-5,2020-06-03 00:37:25,2020-06-17 09:05:51
107,0,12842111-4,2013-11-19 16:55:12,2013-11-23 05:19:10
108,141,10959343-5,2019-05-19 07:22:15,2019-05-27 15:02:13
109,96,94688326-3,2013-08-25 20:10:03,2013-08-29 09:48:20
110,208,96964691-9,2019-04-15 15:08:21,2019-04-20 23:26:36
111,87,78156640-3,2014-03-03 00:02:20,2014-03-06 01:50:44
112,79,92244003-4,2014-12-06 18:52:03,2014-12-19 03:00:09
113,180,61514910-1,2011-06-16 19:20:46,2011-06-29 07:19:08
114,96,49891081-5,2015-06-04 00:06:55,2015-06-09 10:29:04
115,59,75910499-4,2019-12-17 23:16:28,2019-12-21 03:58:06
116,118,30001031-8,2018-05-22 17:23:02,2018-05-28 18:59:32
117,34,83905334-7,2016-03-27 17:36:50,2016-04-06 06:42:48
118,96,95623149-3,2018-02-01 09:05:36,2018-02-08 21:19:23
119,196,22060310-5,2010-10-23 01:43:45,2010-11-04 09:35:47
120,194,51616764-5,2018-04-13 00:42:13,2018-04-25 14:12:03
121,36,70876733-6,2013-05-08 06:07:59,2013-05-12 19:55:11
122,155,19209075-k,2018-01-23 08:23:14,2018-02-06 23:44:48
123,130,16636734-4,2011-11-28 13:26:20,2011-12-04 23:45:18
124,95,49036882-5,2014-08-29 04:47:29,2014-09-01 08:00:18
125,18,70638696-3,2011-09-08 17:14:32,2011-09-22 22:16:03
126,23,28630079-0,2017-06-01 08:29:37,2017-06-11 21:48:20
127,67,53721649-2,2014-08-12 02:56:52,2014-08-24 05:57:47
128,21,82376572-k,2011-08-14 15:58:33,2011-08-29 06:34:33
129,173,23000993-7,2018-08-19 14:19:19,2018-08-29 15:46:14
130,91,74415365-4,2014-04-13 12:56:02,2014-04-26 16:13:03
131,16,37925650-3,2016-07-07 15:33:41,2016-07-18 21:55:26
132,157,60158787-4,2017-08-16 09:10:23,2017-08-23 20:38:11
133,4,79861684-6,2012-11-17 08:57:36,2012-11-27 14:39:38
134,170,98642893-3,2012-04-21 05:10:58,2012-04-27 08:25:14
135,196,93176945-6,2015-05-29 22:31:00,2015-06-05 11:45:47
